Artist,Attendance,Gross,Bands in Town
Lewis Capaldi,"4,532","$175,000.00","1,487"
Jerry Seinfeld,"4,529","$487,205.00",178
James Blunt,"4,526","$272,936.00","4,269"
Three 6 Mafia / Da Mafia Six,"4,519","$366,196.00","497,354"
Chris Rock,"4,515","$450,161.00",459
Judas Priest,"4,493","$259,846.00","7,591"
Hasan Minhaj,"4,474","$190,566.00",17
NOFX,"4,456","$267,799.00","5,453"
Zeds Dead,"4,438","$248,276.00","5,699"
Steve Miller Band,"4,429","$272,706.00","7,818"
Edward Sharpe And The Magnetic Zeros,"4,420","$174,265.00","497,354"
New Order,"4,411","$249,327.00","4,093"
Jim Jefferies,"4,407","$251,158.00",160
Bill Burr,"4,393","$248,833.00","2,046"
Chicago,"4,384","$256,534.00","5,530"
Live,"4,362","$237,801.00","3,578"
Gabriel Iglesias,"4,361","$256,316.00",538
T-Pain,"4,344","$54,355.00","17,269"
John Legend,"4,341","$479,116.00","20,843"
Kidz Bop Live,"4,341","$131,588.00","497,354"
Willie Nelson,"4,331","$307,750.00","11,769"
Monsta X,"4,323","$486,972.00",704
Manic Street Preachers,"4,309","$230,822.00",198
Slightly Stoopid,"4,289","$154,283.00","14,408"
Chris Tomlin,"4,278","$155,025.00","14,983"
Greta Van Fleet,"4,226","$176,279.00","3,743"
2Cellos,"4,218","$242,330.00","2,158"
Bruce Springsteen,"4,210","$2,142,281.00","10,211"
Daniel Tosh,"4,206","$273,897.00","2,141"
Adam Beyer,"4,199","$192,087.00",380
Dropkick Murphys,"4,196","$177,367.00","9,560"
Old Dominion,"4,188","$200,627.00","5,491"
Cheap Trick,"4,185","$211,268.00","5,018"
Al Green,"4,182","$330,160.00","3,935"
Craig David,"4,170","$230,086.00","1,101"
A Day To Remember,"4,163","$174,509.00","28,253"
Rezz,"4,155","$164,027.00","1,294"
Hammer's House Party,"4,129","$164,485.00",1
Kacey Musgraves,"4,114","$219,829.00","6,185"
Molotov,"4,104","$122,973.00","497,354"
Lizzo,"4,091","$181,308.00","2,960"
Dead Can Dance,"4,090","$244,799.00",733
The Cult,"4,085","$159,680.00","2,649"
Sturgill Simpson,"4,080","$285,747.00","2,375"
Bring Me The Horizon,"4,077","$185,622.00","497,354"
Culture Club,"4,077","$262,712.00","1,065"
Adam Sandler,"4,071","$427,830.00",885
Ben Howard,"4,070","$180,020.00","3,289"
Ne-Yo,"4,070","$337,626.00","14,319"
Bush,"4,059","$171,151.00","6,715"
Nora En Pure,"4,053","$158,517.00",494
Tash Sultana,"4,047","$165,043.00","2,590"
Foreigner,"4,031","$207,417.00","8,944"
The B-52's,"4,015","$222,546.00","3,099"
Natalia Jimenez,"4,009","$218,907.00",640
Bombay Bicycle Club,"4,001","$153,733.00","2,266"
Vince Gill,"3,995","$272,974.00","2,835"
"Cirque Dreams ""Holidaze""","3,979","$211,051.00","497,354"
Amy Grant,"3,974","$223,065.00","3,199"
Cake,"3,967","$209,929.00","5,841"
Jagged Edge,"3,960","$255,136.00","3,710"
Mike Epps,"3,952","$287,476.00",141
Snow Patrol,"3,947","$240,667.00","8,428"
Limp Bizkit,"3,926","$218,729.00","8,769"
The Vamps,"3,918","$168,769.00","4,643"
Tyga,"3,918","$190,802.00","21,102"
Roger Daltrey,"3,908","$265,154.00",173
Ice Cube,"3,906","$210,651.00","9,025"
Hannah Gadsby,"3,899","$177,037.00",1
Aya Nakamura,"3,888","$147,545.00",42
5 Seconds Of Summer,"3,874","$191,721.00","16,826"
Blue Rodeo,"3,873","$154,995.00",140
Gary Clark Jr.,"3,872","$191,662.00","3,483"
Chronixx,"3,866","$216,099.00",972
Fat Joe,"3,866","$163,160.00","2,403"
"Earth, Wind & Fire","3,863","$304,882.00","6,598"
Alison Krauss,"3,859","$265,742.00","3,979"
Bear Hands,"3,855","$222,298.00","1,604"
Jools Holland & His Rhythm & Blues Orchestra,"3,839","$215,247.00",3
Fantasia,"3,835","$280,131.00","7,831"
The Proclaimers,"3,828","$176,666.00",983
Phoenix,"3,827","$182,008.00","9,941"
Phil Lesh & Friends,"3,815","$424,167.00",157
Leon Bridges,"3,792","$188,775.00","2,514"
Angus & Julia Stone,"3,788","$207,366.00","2,803"
Kings Of Leon,"3,741","$454,344.00","23,508"
Barenaked Ladies,"3,739","$145,731.00","5,157"
Rebelution,"3,739","$128,899.00","11,824"
CNCO,"3,736","$272,642.00","1,298"
Troye Sivan,"3,731","$226,507.00","9,060"
Gesaffelstein,"3,724","$181,894.00",512
Russell Peters,"3,722","$230,618.00",74
Fitz And The Tantrums,"3,717","$147,903.00","5,817"
Joan Jett & The Blackhearts,"3,708","$169,657.00","5,023"
Cole Swindell,"3,702","$172,207.00","10,893"
Blondie,"3,700","$269,941.00","4,618"
Keith Sweat,"3,699","$238,734.00","4,314"
Busted,"3,696","$201,111.00",170
Diana Ross,"3,694","$445,525.00","1,906"
Dean Brody,"3,685","$172,089.00",163
Don Omar,"3,684","$179,167.00","7,888"
